repo_name,repo_url,login,profile_url,location,country,prs_opened,prs_merged,pr_accept_rate,avg_time_to_merge,commits_total,issues_opened,reviews_submitted,stars_own_repos,stars_contrib_repos,contribution_period,activity_frequency,activity_regularidade,permission_level
go,https://github.com/golang/go,RLH,https://github.com/RLH,Cambridge Ma.,United States,0,0,0.0,0.0,64,9,0,3,0.0,6,0.17534246575342466,0.17534246575342466,contributor
go,https://github.com/golang/go,DanielMorsing,https://github.com/DanielMorsing,London,United Kingdom,0,0,0.0,0.0,71,56,0,171,0.0,7,0.19452054794520549,0.19452054794520549,contributor
go,https://github.com/golang/go,mattn,https://github.com/mattn,"Osaka, Japan",Japan,1,0,0.0,0.0,97,89,0,3242,0.0,9,0.26575342465753427,0.26575342465753427,contributor
go,https://github.com/golang/go,rogpeppe,https://github.com/rogpeppe,"Newcastle upon Tyne, UK",United Kingdom,0,0,0.0,0.0,99,325,0,3057,0.0,9,0.27123287671232876,0.27123287671232876,contributor
react-native,https://github.com/facebook/react-native,woehrl01,https://github.com/woehrl01,Germany,Germany,0,0,0.0,0.0,56,0,0,30,0.0,5,0.15342465753424658,0.15342465753424658,contributor
react-native,https://github.com/facebook/react-native,adamjernst,https://github.com/adamjernst,"New York, NY",United States,3,0,0.0,0.0,63,0,1,119,0.0,6,0.1726027397260274,0.1726027397260274,contributor
go,https://github.com/golang/go,kevinburke,https://github.com/kevinburke,"San Francisco, CA",Canada,0,0,0.0,0.0,89,136,0,1126,0.0,8,0.24383561643835616,0.24383561643835616,contributor
flutter,https://github.com/flutter/flutter,przem8k,https://github.com/przem8k,"Paris, France",France,0,0,0.0,0.0,7,1,1,33,0.0,1,0.019178082191780823,0.019178082191780823,contributor
go,https://github.com/golang/go,dominikh,https://github.com/dominikh,Germany,Germany,0,0,0.0,0.0,73,212,0,11424,0.0,7,0.2,0.2,contributor
react-native,https://github.com/facebook/react-native,vonovak,https://github.com/vonovak,Czech Republic,Czechia,64,0,0.0,0.0,56,9,19,990,0.0,5,0.15342465753424658,0.15342465753424658,contributor
go,https://github.com/golang/go,cagedmantis,https://github.com/cagedmantis,New York,United States,0,0,0.0,0.0,63,237,0,5,0.0,6,0.1726027397260274,0.1726027397260274,contributor
react-native,https://github.com/facebook/react-native,zertosh,https://github.com/zertosh,"New York, NY",United States,1,0,0.0,0.0,51,2,0,3775,0.0,5,0.13972602739726028,0.13972602739726028,contributor
go,https://github.com/golang/go,Jorropo,https://github.com/Jorropo,France,France,13,0,0.0,0.0,91,88,1,25,0.0,9,0.2493150684931507,0.2493150684931507,contributor
react-native,https://github.com/facebook/react-native,iwoplaza,https://github.com/iwoplaza,Polska,Poland,45,0,0.0,0.0,43,0,0,302,0.0,4,0.1178082191780822,0.1178082191780822,contributor
react-native,https://github.com/facebook/react-native,ericlewis,https://github.com/ericlewis,"Atlanta, Georgia",Georgia,61,0,0.0,0.0,51,1,35,221,0.0,5,0.13972602739726028,0.13972602739726028,contributor
react-native,https://github.com/facebook/react-native,sota000,https://github.com/sota000,"Menlo Park, CA",Canada,21,0,0.0,0.0,62,0,9,0,0.0,6,0.16986301369863013,0.16986301369863013,contributor
react-native,https://github.com/facebook/react-native,gkz,https://github.com/gkz,Los Angeles,United States,19,0,0.0,0.0,48,0,0,4802,0.0,4,0.13150684931506848,0.13150684931506848,contributor
go,https://github.com/golang/go,agnivade,https://github.com/agnivade,"Bangalore, India",India,0,0,0.0,0.0,89,34,0,1262,0.0,8,0.24383561643835616,0.24383561643835616,contributor
react-native,https://github.com/facebook/react-native,luluwu2032,https://github.com/luluwu2032,UK,United Kingdom,47,0,0.0,0.0,63,0,2,0,0.0,6,0.1726027397260274,0.1726027397260274,contributor
react-native,https://github.com/facebook/react-native,osdnk,https://github.com/osdnk,Espoo,Finland,10,0,0.0,0.0,67,1,17,195,0.0,6,0.18356164383561643,0.18356164383561643,contributor
react-native,https://github.com/facebook/react-native,chrfalch,https://github.com/chrfalch,Norway,Norway,45,0,0.0,0.0,62,1,18,385,0.0,6,0.16986301369863013,0.16986301369863013,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,austintheriot,https://github.com/austintheriot,"Austin, TX",United States,0,0,0.0,0.0,0,0,0,351,0.0,0,0.0,0.0,viewer
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,hanhdt,https://github.com/hanhdt,"Kyoto, Japan",Japan,2,2,100.0,105.17,2,0,1,431,1292.63,1,0.005479452054794521,0.005479452054794521,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,childrentime,https://github.com/childrentime,ShangHai,China,3,2,66.67,509.92,2,0,0,1206,1292.63,1,0.005479452054794521,0.005479452054794521,contributor
flutter,https://github.com/flutter/flutter,miquelbeltran,https://github.com/miquelbeltran,Germany,Germany,6,6,100.0,1025.41,7,14,2,299,23.17,1,0.019178082191780823,0.019178082191780823,contributor
flutter,https://github.com/flutter/flutter,Pragya007,https://github.com/Pragya007,Hyderabad,India,6,5,83.33,381.94,6,0,5,3,19.3,1,0.01643835616438356,0.01643835616438356,contributor
react-native,https://github.com/facebook/react-native,gabelevi,https://github.com/gabelevi,"New York, NY, USA",United States,5,2,40.0,154.21,68,0,0,3,264.46,6,0.1863013698630137,0.1863013698630137,contributor
react-native,https://github.com/facebook/react-native,Saadnajmi,https://github.com/Saadnajmi,United States,United States,76,3,3.95,188.47,55,4,27,16,396.69,5,0.1506849315068493,0.1506849315068493,contributor
flutter,https://github.com/flutter/flutter,letsar,https://github.com/letsar,"Rennes, France",France,9,6,66.67,942.48,6,24,6,9134,23.17,1,0.01643835616438356,0.01643835616438356,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,davidkadaria,https://github.com/davidkadaria,"Tbilisi, Georgia",Georgia,2,2,100.0,185.97,2,0,0,1,1292.63,1,0.005479452054794521,0.005479452054794521,contributor
flutter,https://github.com/flutter/flutter,bryanoltman,https://github.com/bryanoltman,"Brooklyn, NY",United States,7,6,85.71,70.63,7,13,2,271,23.17,1,0.019178082191780823,0.019178082191780823,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,vivitruong,https://github.com/vivitruong,"Houston, TX",United States,2,2,100.0,2621.95,2,0,0,1,1292.63,1,0.005479452054794521,0.005479452054794521,contributor
flutter,https://github.com/flutter/flutter,CoderDake,https://github.com/CoderDake,Ontario,Canada,8,7,87.5,598.94,7,6,10,1,27.03,1,0.019178082191780823,0.019178082191780823,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,muhammederdinc,https://github.com/muhammederdinc,İstanbul,Turkey,2,2,100.0,4644.13,2,0,0,35,1292.63,1,0.005479452054794521,0.005479452054794521,contributor
flutter,https://github.com/flutter/flutter,navaronbracke,https://github.com/navaronbracke,"Ghent, Belgium",Belgium,15,6,40.0,324.9,6,113,101,2,23.17,1,0.01643835616438356,0.01643835616438356,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,UjjwalAryal,https://github.com/UjjwalAryal,"Kathmandu, Nepal",Nepal,4,2,50.0,166.42,2,0,0,6,1292.63,1,0.005479452054794521,0.005479452054794521,contributor
flutter,https://github.com/flutter/flutter,doxuanviet1996,https://github.com/doxuanviet1996,Singapore,Singapore,8,6,75.0,285.21,6,0,7,1,23.17,1,0.01643835616438356,0.01643835616438356,contributor
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,PeterShershov,https://github.com/PeterShershov,Tel Aviv,ישראל,1,1,100.0,9.47,2,0,0,33,646.31,1,0.005479452054794521,0.005479452054794521,contributor
